gw,club,side,opponent,date,fdr,rest_days,m7,m14,m21,euro_comp,euro_gap_days,travel_km,days_to_next,next_is_euro,congestion,asymmetry
1,ARS,H,COV,2026-08-21,2,14,0,0,0,CL,,0.0,10,False,0.0,-0.011
1,AVL,A,BHA,2026-08-23,3,14,0,0,0,CL,,221.2,8,False,0.018,0.018
1,BHA,H,AVL,2026-08-23,3,14,0,0,0,UECL,,0.0,7,False,0.0,-0.018
1,BOU,A,MCI,2026-08-23,5,14,0,0,0,EL,,306.6,6,False,0.025,0.025
1,BRE,H,TOT,2026-08-22,3,14,0,0,0,,,0.0,8,False,0.0,-0.002
1,CHE,A,FUL,2026-08-24,3,14,0,0,0,,,2.3,6,False,0.0,0.0
1,COV,A,ARS,2026-08-21,5,14,0,0,0,,,137.4,8,False,0.011,0.011
1,CRY,A,EVE,2026-08-22,3,14,0,0,0,EL,,299.4,6,False,0.024,0.024
1,EVE,H,CRY,2026-08-22,3,14,0,0,0,,,0.0,7,False,0.0,-0.024
1,FUL,H,CHE,2026-08-24,4,14,0,0,0,,,0.0,6,False,0.0,0.0
1,HUL,H,MUN,2026-08-22,4,14,0,0,0,,,0.0,7,False,0.0,-0.01
1,IPS,H,SUN,2026-08-22,2,14,0,0,0,,,0.0,8,False,0.0,-0.029
1,LEE,A,NFO,2026-08-22,3,14,0,0,0,,,97.6,8,False,0.008,0.008
1,LIV,A,NEW,2026-08-23,3,14,0,0,0,CL,,192.6,6,False,0.015,0.015
1,MCI,H,BOU,2026-08-23,3,14,0,0,0,CL,,0.0,5,False,0.0,-0.025
1,MUN,A,HUL,2026-08-22,2,14,0,0,0,CL,,130.7,8,False,0.01,0.01
1,NEW,H,LIV,2026-08-23,4,14,0,0,0,,,0.0,6,False,0.0,-0.015
1,NFO,H,LEE,2026-08-22,2,14,0,0,0,,,0.0,7,False,0.0,-0.008
1,SUN,A,IPS,2026-08-22,2,14,0,0,0,EL,,359.3,8,False,0.029,0.029
1,TOT,A,BRE,2026-08-22,3,14,0,0,0,,,19.9,7,False,0.002,0.002
2,ARS,A,AVL,2026-08-31,4,10,0,1,1,CL,,161.3,6,False,0.013,0.013
2,AVL,H,ARS,2026-08-31,4,8,0,1,1,CL,,0.0,5,False,0.0,-0.013
2,BHA,A,CHE,2026-08-30,4,7,1,1,1,UECL,,69.3,6,False,0.006,0.006
2,BOU,H,EVE,2026-08-29,3,6,1,1,1,EL,,0.0,7,False,0.0,-0.025
2,BRE,A,LEE,2026-08-30,3,8,0,1,1,,,268.6,6,False,0.021,0.021
2,CHE,H,BHA,2026-08-30,2,6,1,1,1,,,0.0,7,False,0.0,-0.006
2,COV,H,HUL,2026-08-29,2,8,0,1,1,,,0.0,7,False,0.0,-0.013
2,CRY,H,MCI,2026-08-28,4,6,1,1,1,EL,,0.0,8,False,0.0,-0.09
2,EVE,A,BOU,2026-08-29,3,7,1,1,1,,,310.4,8,False,0.025,0.025
