team,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12
ARS,BHA(A) 3,LEE(H) 2,NFO(A) 3,EVE(H) 3,LIV(A) 4,HUL(H) 2,NEW(A) 3,MCI(H) 4
AVL,TOT(A) 3,BRE(H) 3,NEW(A) 3,MCI(H) 4,FUL(H) 2,MUN(A) 4,SUN(H) 2,IPS(A) 2
BHA,ARS(H) 4,SUN(A) 3,CRY(H) 3,LIV(A) 4,MCI(A) 5,BRE(H) 3,HUL(A) 2,NEW(H) 2
BOU,LIV(H) 4,CHE(A) 4,SUN(H) 2,MUN(A) 4,LEE(H) 2,IPS(A) 2,NFO(H) 3,FUL(A) 3
BRE,CHE(H) 4,AVL(A) 4,LIV(H) 4,HUL(A) 2,NFO(H) 3,BHA(A) 3,EVE(H) 3,MUN(A) 4
CHE,BRE(A) 3,BOU(H) 3,EVE(A) 3,TOT(H) 3,MUN(H) 4,SUN(A) 3,LEE(H) 2,NFO(A) 3
COV,NFO(A) 3,NEW(H) 2,TOT(A) 3,FUL(H) 2,SUN(H) 2,EVE(A) 3,CRY(H) 3,LEE(A) 3
CRY,LEE(A) 3,NFO(H) 3,BHA(A) 3,NEW(H) 2,TOT(A) 3,LIV(H) 4,COV(A) 2,HUL(H) 2
EVE,IPS(H) 2,HUL(A) 2,CHE(H) 4,ARS(A) 5,NEW(A) 3,COV(H) 2,BRE(A) 3,LIV(H) 4
FUL,MUN(H) 4,IPS(A) 2,HUL(H) 2,COV(A) 2,AVL(A) 4,NEW(H) 2,MCI(A) 5,BOU(H) 3
HUL,NEW(A) 3,EVE(H) 3,FUL(A) 3,BRE(H) 3,IPS(H) 2,ARS(A) 5,BHA(H) 2,CRY(A) 3
IPS,EVE(A) 3,FUL(H) 2,MCI(A) 5,NFO(H) 3,HUL(A) 2,BOU(H) 3,TOT(A) 3,AVL(H) 3
LEE,CRY(H) 3,ARS(A) 5,MUN(H) 4,SUN(A) 3,BOU(A) 3,TOT(H) 3,CHE(A) 4,COV(H) 2
LIV,BOU(A) 3,MCI(H) 4,BRE(A) 3,BHA(H) 2,ARS(H) 4,CRY(A) 3,MUN(H) 4,EVE(A) 3
MCI,SUN(H) 2,LIV(A) 4,IPS(H) 2,AVL(A) 4,BHA(H) 2,NFO(A) 3,FUL(H) 2,ARS(A) 5
MUN,FUL(A) 3,TOT(H) 3,LEE(A) 3,BOU(H) 3,CHE(A) 4,AVL(H) 3,LIV(A) 4,BRE(H) 3
NEW,HUL(H) 2,COV(A) 2,AVL(H) 3,CRY(A) 3,EVE(H) 3,FUL(A) 3,ARS(H) 4,BHA(A) 3
NFO,COV(H) 2,CRY(A) 3,ARS(H) 4,IPS(A) 2,BRE(A) 3,MCI(H) 4,BOU(A) 3,CHE(H) 4
SUN,MCI(A) 5,BHA(H) 2,BOU(A) 3,LEE(H) 2,COV(A) 2,CHE(H) 4,AVL(A) 4,TOT(H) 3
TOT,AVL(H) 3,MUN(A) 4,COV(H) 2,CHE(A) 4,CRY(H) 3,LEE(A) 3,IPS(H) 2,SUN(A) 3
