club,comp,matchday,date,opponent,venue,opp_lat,opp_lon,evidence
ARS,CL,1,2026-09-09,Napoli,A,40.828,14.193,FACT-uefa
ARS,CL,2,2026-10-13,Lille,H,50.612,3.130,FACT-uefa
ARS,CL,3,2026-10-21,Bayern Munich,A,48.219,11.625,FACT-uefa
ARS,CL,4,2026-11-04,Slavia Praha,A,50.068,14.472,FACT-uefa
ARS,CL,5,2026-11-24,Borussia Dortmund,H,51.493,7.452,FACT-uefa
ARS,CL,6,2026-12-09,Real Madrid,H,40.453,-3.688,FACT-uefa
ARS,CL,7,2027-01-20,Real Betis,A,37.356,-5.982,FACT-uefa
ARS,CL,8,2027-01-27,Sabah,H,40.379,49.867,FACT-uefa
AVL,CL,1,2026-09-08,Club Brugge,A,51.193,3.181,FACT-crosschecked
AVL,CL,2,2026-10-14,Fenerbahce,H,40.988,29.037,FACT-crosschecked
AVL,CL,3,2026-10-21,Viking FK,H,58.933,5.740,FACT-crosschecked
AVL,CL,4,2026-11-03,Barcelona,A,41.381,2.123,FACT-crosschecked
AVL,CL,5,2026-11-24,Galatasaray,A,41.104,28.991,FACT-crosschecked
AVL,CL,6,2026-12-08,Paris Saint-Germain,H,48.841,2.253,FACT-crosschecked
AVL,CL,7,2027-01-19,Borussia Dortmund,H,51.493,7.452,FACT-crosschecked
AVL,CL,8,2027-01-27,Slavia Praha,A,50.068,14.472,FACT-crosschecked
BHA,UECL,1,2026-10-15,Kauno Zalgiris,H,54.898,23.917,FACT-uefa
BHA,UECL,2,2026-10-22,Jablonec,A,50.724,15.164,FACT-uefa
BHA,UECL,3,2026-11-05,Getafe,A,40.326,-3.715,FACT-uefa
BHA,UECL,4,2026-11-26,U Craiova,H,44.317,23.807,FACT-uefa
BHA,UECL,5,2026-12-10,Monaco,H,43.727,7.416,FACT-uefa
BHA,UECL,6,2026-12-17,Panathinaikos,A,37.999,23.783,FACT-uefa
BOU,EL,1,2026-09-17,Real Sociedad,A,43.301,-1.974,FACT
BOU,EL,2,2026-10-15,Sparta Praha,A,50.100,14.416,FACT
BOU,EL,3,2026-10-22,AC Milan,H,45.478,9.124,FACT
BOU,EL,4,2026-11-05,Viktoria Plzen,H,49.749,13.410,FACT
BOU,EL,5,2026-11-26,Sturm Graz,H,47.046,15.454,FACT
BOU,EL,6,2026-12-10,Hapoel Beer Sheva,H,31.252,34.792,FACT
BOU,EL,7,2027-01-21,Celta Vigo,A,42.212,-8.740,FACT
BOU,EL,8,2027-01-28,Lillestrom,A,59.957,11.049,FACT
CRY,EL,1,2026-09-17,Lyon,A,45.765,4.982,FACT
CRY,EL,2,2026-10-15,Salzburg,A,47.816,13.033,FACT
CRY,EL,3,2026-10-22,Lech Poznan,H,52.395,16.872,FACT
CRY,EL,4,2026-11-05,Sparta Praha,H,50.100,14.416,FACT
CRY,EL,5,2026-11-26,Real Sociedad,H,43.301,-1.974,RECONCILED
CRY,EL,6,2026-12-10,Jagiellonia Bialystok,A,53.129,23.152,FACT
CRY,EL,7,2027-01-21,Hoffenheim,H,49.239,8.888,FACT
CRY,EL,8,2027-01-28,Besiktas,A,41.039,29.007,FACT
LIV,CL,1,2026-09-09,Atletico Madrid,H,40.436,-3.599,FACT-uefa
LIV,CL,2,2026-10-14,LASK,A,48.288,14.313,FACT-uefa
LIV,CL,3,2026-10-20,Villarreal,H,39.944,-0.103,FACT-uefa
LIV,CL,4,2026-11-04,Fenerbahce,A,40.988,29.037,FACT-uefa
LIV,CL,5,2026-11-25,Club Brugge,A,51.193,3.181,FACT-uefa
LIV,CL,6,2026-12-09,Porto,H,41.162,-8.584,FACT-uefa
LIV,CL,7,2027-01-19,Inter Milan,A,45.478,9.124,FACT-uefa
LIV,CL,8,2027-01-27,Lens,H,50.433,2.815,FACT-uefa
MCI,CL,1,2026-09-08,Porto,A,41.162,-8.584,FACT-uefa
MCI,CL,2,2026-10-14,Paris Saint-Germain,H,48.841,2.253,FACT-uefa
MCI,CL,3,2026-10-20,AEK Athens,H,38.042,23.788,FACT-uefa
MCI,CL,4,2026-11-04,RB Leipzig,A,51.346,12.348,FACT-uefa
MCI,CL,5,2026-11-24,Napoli,H,40.828,14.193,FACT-uefa
MCI,CL,6,2026-12-08,Barcelona,A,41.381,2.123,FACT-uefa
MCI,CL,7,2027-01-20,Lens,A,50.433,2.815,FACT-uefa
MCI,CL,8,2027-01-27,Sporting CP,H,38.761,-9.161,FACT-uefa
MUN,CL,1,2026-09-11,Sabah,H,40.379,49.867,FACT-club-official
MUN,CL,2,2026-10-14,Atletico Madrid,A,40.436,-3.599,FACT-club-official
MUN,CL,3,2026-10-22,Como,A,45.808,9.084,FACT-club-official
MUN,CL,4,2026-11-04,Roma,H,41.934,12.455,FACT-club-official
MUN,CL,5,2026-11-26,Sporting CP,A,38.761,-9.161,FACT-club-official
MUN,CL,6,2026-12-09,RB Leipzig,H,51.346,12.348,FACT-club-official
MUN,CL,7,2027-01-21,Bayern Munich,H,48.219,11.625,FACT-club-official
MUN,CL,8,2027-01-28,Villarreal,A,39.944,-0.103,FACT-club-official
SUN,EL,1,2026-09-17,AC Milan,A,45.478,9.124,FACT
SUN,EL,2,2026-10-15,Anderlecht,A,50.834,4.298,FACT
SUN,EL,3,2026-10-22,Lech Poznan,A,52.395,16.872,FACT
SUN,EL,4,2026-11-05,AZ Alkmaar,H,52.613,4.752,FACT
SUN,EL,5,2026-11-26,Dinamo Zagreb,H,45.822,15.952,FACT
SUN,EL,6,2026-12-10,Jagiellonia Bialystok,H,53.129,23.152,FACT
SUN,EL,7,2027-01-21,Levski Sofia,H,42.686,23.322,FACT
SUN,EL,8,2027-01-28,Torreense,A,39.091,-9.258,FACT
